"Rank","Head Location","Starting TMC Code","Latitude","Longitude","Average max length","Average daily duration","Total duration","All events/incidents","Volume Estimate","Base Impact","Speed differential","Congestion","TOTAL DELAY","Segment IDs"
18,"TN-66 S @ US-411/US-441/TN-35/TN-71/W MAIN ST","121N08238","35.86942","-83.56764","0.26"," 10 h 26 m","13 d 1 h 27 m","0","17,082","7,971","167,884","10,759","4,237,709","121N08238, 121-08238, 121-11583, 121-08240, 121-08241"
19,"US-70S E @ NASHBORO BLVD/UNA ANTIOCH PIKE","121N08633","36.0864","-86.64834","0.51"," 7 h 56 m","9 d 22 h 3 m","0","18,267","5,353","106,951","7,940","3,894,377","121N08633, 121-08633, 121-08632, 121N08657, 121-08657, 121N08631, 121-08631, 121N08630"
20,"US-441 N @ US-321/E PARKWAY","121+11066","35.7144","-83.51041","0.91"," 2 h 36 m","3 d 6 h 15 m","0","13,050","4,630","41,512","5,867","3,870,037","121+11066, 121+11065, 121P11589, 121+11589, 121P11064"
21,"US-27 N @ TN-58/S MARKET ST","121+07297","35.02704","-85.3051","1.01"," 1 h 15 m","1 d 13 h 40 m","0","61,746","2,038","69,128","3,401","3,846,647","121+07297, 121P06186, 121+06186"
22,"TN-153 N @ TN-319/HIXSON PIKE","121+09405","35.12918","-85.24336","0.97"," 3 h 3 m","3 d 19 h 53 m","0","27,099","5,010","112,975","6,908","3,802,223","121+09405, 121P04365, 121+04365, 121P04364, 121+04364, 121P11603, 121+11603, 121P11602, 121+11602, 121P04363, 121+04363, 121P04362, 121+04362"
23,"US-441 N @ CEDAR LN","121+10421","36.03495","-83.9322","0.97"," 2 h 56 m","3 d 16 h 20 m","0","23,153","5,189","83,144","6,306","3,688,309","121+10421, 121P10420, 121+10420, 121P10419, 121+10419, 121P10418"
24,"TN-153 S @ TN-319/DUPONT PKY","121-04365","35.12178","-85.23851","0.64"," 4 h 10 m","5 d 5 h 12 m","0","27,519","4,600","97,369","6,120","3,667,561","121-04365, 121N09405, 121-09405, 121-09406"
25,"WALNUT GROVE RD E @ TN-177/GERMANTOWN RD","113+10844","35.13264","-89.80153","3.84"," 38 m"," 19 h 2 m","0","18,991","3,752","123,722","8,260","3,571,679","113+10844, 113P10843, 113+10843, 113P10842, 113+10842, 113+10841, 113P10840"
26,"US-70S E @ WHITE BRIDGE PIKE/WOODMONT BLVD","121N05892","36.12532","-86.84712","0.37"," 9 h 13 m","11 d 12 h 55 m","0","17,967","4,927","94,009","7,065","3,387,845","121N05892, 121-05892, 121-08647, 121N05891, 121-05891"
27,"HARDIN VALLEY RD E @ TN-162/PELLISSIPPI PKY","121P10482","35.95021","-84.15652","0.41"," 11 h 3 m","13 d 19 h 54 m","0","14,413","7,018","141,352","9,448","3,252,153","121P10482, 121+10482, 121+10481"
